Try to be a rainbow in someone's cloud.,Maya Angelou
"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Maya Angelou
My best friend is the one who brings out the best in me.,Henry Ford
A business that makes nothing but money is a poor business.,Henry Ford
Courage is knowing what not to fear.,Plato
"Ignorance, the root and stem of all evil.",Plato
Alone we can do so little; together we can do so much.,Helen Keller
"What I am looking for is not out there, it is in me.",Helen Keller
Anyone who has never made a mistake has never tried anything new.,Albert Einstein
The true sing of intelligence is not knowledge but imagination.,Albert Einstein
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison
There is no substitute for hard work.,Thomas A. Edison
"Inspiration exists, but it has to find us working.",Pablo Picasso
Art washes away from the soul the dust of everyday life.,Pablo Picasso
"There is only one happiness in life, to love and be loved.",George Sand
Only I can change my life. No one can do it for me.,Carol Burnett
"However difficult life may seem, there is always something you can do and succeed at.",Stephen Hawking
"Choose a job you love, and you will never have to work a day in your life.",Confucius
Life isn't about finding yourself. Life is a bout creating yourself.,George Bernard Shaw
"Live life to the fullest, and focus on the positive.",Matt Cameron
Life would be tragic if it weren't funny,Stephen Hawking
"Music is love, love is music, music is life, and I love my life. Thank you and good night.",A. J. McLean
Where there is love there is life.,Mahatma Gandhi
Share your smile with the world. It's a symbol of friendship and peace.,Christie Brinkley
"Friends show their love in times of trouble, not in happiness.",Euripides
Of all possessions a friends is the most precious.,Herodotus
There is nothing on this earth more to be prized than true friendship.,Thomas Aquinas
Walking with a friend in the dark is better than walking alone in the light.,Helen Keller
Love is the only force capable of transforming an enemy into a friend.,"Martin Luther King, Jr."
A friend is someone who gives you total freedom to be yourself.,Jim Morrison
Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching.,Satchel Paige
In every walk with nature one receives far more than he seeks.,John Muir
The journey of a thousand miles begins with one step.,Lao Tzu
Honesty is the first chapter in the book of wisdom.,Thomas Jefferson
"Set your course by the stars, not by the lights of every passing ship.",Omar N. Bradley
"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson
Discipline is the bridge between goals and accomplishment.,Jim Rohn
The only true wisdom is in knowing you know nothing.,Socrates
Adopt the pace of nature: her secret is patience.,Ralph Waldo Emerson
Our character is what we do when we think no one is looking.,"H. Jackson Brown, Jr."
Either I will find a way or I will make one.,Philip Sidney
It does not matter how slowly you go as long as you do not stop.,Confucius
With the new day comes new strength and new thoughts.,Eleanor Roosevelt
It always seems impossible until it's done.,Nelson Mandela
"In order to succeed, we must first believe that we can.",Nikos Kazantzakis
"If you can dream it, you can do it.",Walt Disney
"Always do your best. What you plant now, you will harvest later.",Og Mandino
You can't cross the sea merely by standing and staring at the water.,Rabindranath Tagore
We may encounter many defeats but we must not be defeated.,Maya Angelou
The secret of getting ahead is getting started.,Mark Twain
